电影名称	评分	评价数量	
谍影重重2	8.6	171064人	
惊魂记	8.9	91042人	
忠犬八公物语	9.0	66237人	
模仿游戏	8.6	277693人	
青蛇	8.4	239400人	
无人知晓	9.0	69043人	
再次出发之纽约遇见你	8.5	186806人	
东京物语	9.2	55760人	
哪吒闹海	8.9	87889人	
一个叫欧维的男人决定去死	8.7	134571人	
﻿你的名字。	8.4	522745人	
完美陌生人	8.6	220893人	
碧海蓝天	8.7	112164人	
小萝莉的猴神大叔	8.5	177660人	
源代码	8.3	435367人	
末路狂花	8.7	113107人	
终结者2：审判日	8.6	151505人	
黑客帝国3：矩阵革命	8.5	168394人	
秒速5厘米	8.3	322562人	
新龙门客栈	8.5	198919人	
绿里奇迹	8.7	114382人	
海盗电台	8.6	172982人	
这个男人来自地球	8.5	196426人	
勇闯夺命岛	8.6	150579人	
城市之光	9.2	48278人	
卡萨布兰卡	8.6	132872人	
无耻混蛋	8.4	238060人	
初恋这件小事	8.3	494502人	
变脸	8.4	227272人	
E.T. 外星人	8.5	164418人	
发条橙	8.4	197319人	
爱在午夜降临前	8.8	126294人	
黄金三镖客	9.1	55520人	
美国丽人	8.4	196933人	
荒野生存	8.6	135239人	
﻿迁徙的鸟	9.1	54053人	
无敌破坏王	8.6	198203人	
疯狂的石头	8.3	341554人	
步履不停	8.8	86086人	
英国病人	8.4	182258人	
燕尾蝶	8.6	112239人	
非常嫌疑犯	8.6	124149人	
彗星来的那一夜	8.4	197622人	
国王的演讲	8.3	361457人	
勇士	8.9	92461人	
血钻	8.5	142969人	
叫我第一名	8.6	115107人	
海街日记	8.6	142219人	
穆赫兰道	8.3	249130人	
聚焦	8.8	137838人	
上帝也疯狂	8.6	101482人	
枪火	8.6	106612人	
我爱你	9.0	62518人	
遗愿清单	8.5	139746人	
黑鹰坠落	8.5	124891人	
荒岛余生	8.5	143951人	
大卫·戈尔的一生	8.6	101336人	
千钧一发	8.7	92944人	
蓝色大门	8.3	284193人	
爱·回家	9.0	50382人	
